Order, Astronaut, Date, Mission
171, Mary Cleave, 1985-11-27, 61-B
, Rodolfo Neri Vela, 1985-11-27, 61-B
, Bryan O'Connor, 1985-11-27, 61-B
, Jerry Ross, 1985-11-27, 61-B
, Sherwood Spring, 1985-11-27, 61-B
176, Charles Bolden, 1986-01-12, 61-C
, Robert Cenker, 1986-01-12, 61-C
, Franklin Chang-Diaz, 1986-01-12, 61-C
, Clarens Nelson, 1986-01-12, 61-C
180, Aleksandr Laveykin, 1987-02-05, Soyuz TM-2
181, Mohammed Faris, 1987-07-22, Soyuz TM-3
, Aleksandr Viktorenko, 1987-07-22, Soyuz TM-3
183, Anatoli Levchenko, 1987-12-21, Soyuz TM-4
, Musa Manarov, 1987-12-21, Soyuz TM-4
185, Aleksandr Panayotov Aleksandrov, 1988-06-07, Soyuz TM-5
, Anatoliy Solovyov, 1988-06-07, Soyuz TM-5
187, Abdul Mohmand, 1988-08-29, Soyuz TM-6
, Valeri Polyakov, 1988-08-29, Soyuz TM-6
189, Sergei Krikalyov, 1988-11-26, Soyuz TM-7
190, Guy Gardner, 1988-12-02, STS-27
, William Shepherd, 1988-12-02, STS-27
192, James Bagian, 1989-03-13, STS-29
, John Blaha, 1989-03-13, STS-29
, Robert Springer, 1989-03-13, STS-29
195, Mark Lee, 1989-05-04, STS-30
196, James Adamson, 1989-08-08, STS-28
, Mark Brown, 1989-08-08, STS-28
, Richard Richards, 1989-08-08, STS-28
199, Ellen Baker, 1989-10-18, STS-34
, Michael McCulley, 1989-10-18, STS-34
201, Manly Carter, 1989-11-23, STS-33
, Kathryn Thornton, 1989-11-23, STS-33
203, Marsha Ivins, 1990-01-09, STS-32
, George Low, 1990-01-09, STS-32
, James Wetherbee, 1990-01-09, STS-32
206, Aleksandr Balandin, 1990-02-11, Soyuz TM-9
207, John Casper, 1990-02-28, STS-36
, Pierre Thuot, 1990-02-28, STS-36
209, Gennadi Manakov, 1990-08-01, Soyuz TM-10
210, Thomas Akers, 1990-10-06, STS-41
, Robert Cabana, 1990-10-06, STS-41
, Bruce Melnick, 1990-10-06, STS-41
213, Frank Culbertson, 1990-11-15, STS-38
, Charles Gemar, 1990-11-15, STS-38
, Carl Meade, 1990-11-15, STS-38
216, Samuel Durrance, 1990-12-02, STS-35
, Ronald Parise, 1990-12-02, STS-35
218, Viktor Afanasyev, 1990-12-02, Soyuz TM-11
, Tohiro Akiyama, 1990-12-02, Soyuz TM-11
220, Jerome Apt, 1991-04-05, STS-37
, Kenneth Cameron, 1991-04-05, STS-37
, Linda Godwin, 1991-04-05, STS-37
223, Lloyd Hammond, 1991-04-28, STS-39
, Gregory Harbaugh, 1991-04-28, STS-39
, Richard Hieb, 1991-04-28, STS-39
, Donald McMonagle, 1991-04-28, STS-39
, Charles Veach, 1991-04-28, STS-39
228, Anatoli Artsebarsky, 1991-05-18, Soyuz TM-12
, Helen Sharman, 1991-05-18, Soyuz TM-12
230, Francis Gaffney, 1991-06-05, STS-40
, Sidney Gutierrez, 1991-06-05, STS-40
, Millie Hughes-Fulford, 1991-06-05, STS-40
, Tamara Jernigan, 1991-06-05, STS-40
234, Michael Baker, 1991-08-02, STS-43
235, Kenneth Reightler, 1991-09-12, STS-48
236, Toktar Aubakirov, 1991-10-02, Soyuz TM-13
, Franz Viehböck, 1991-10-02, Soyuz TM-13
238, Thomas Hennen, 1991-11-25, STS-44
, Terence Henricks, 1991-11-25, STS-44
, Mario Runco, 1991-11-25, STS-44
, James Voss, 1991-11-25, STS-44
242, Roberta Bondar, 1992-01-22, STS-42
, Stephen Oswald, 1992-01-22, STS-42
, William Readdy, 1992-01-22, STS-42
245, Klaus-Dietrich Flade, 1992-03-17, Soyuz TM-14
, Aleksandr Kaleri, 1992-03-17, Soyuz TM-14
247, Brian Duffy, 1992-03-24, STS-45
, Colin Foale, 1992-03-24, STS-45
, Dirk Frimout, 1992-03-24, STS-45
250, Kevin Chilton, 1992-05-07, STS-49
251, Kenneth Bowersox, 1992-06-25, STS-50
, Lawrence DeLucas, 1992-06-25, STS-50
, Eugene Trinh, 1992-06-25, STS-50
254, Sergei Avdeyev, 1992-07-27, Soyuz TM-15
, Michel Tognini, 1992-07-27, Soyuz TM-15
256, Andrew Allen, 1992-07-31, STS-46
, Franco Malerba, 1992-07-31, STS-46
, Claude Nicollier, 1992-07-31, STS-46
259, Curtis Brown, 1992-09-12, STS-47
, Nancy Davis, 1992-09-12, STS-47
, Mae Jemison, 1992-09-12, STS-47
, Mamoru Mohri, 1992-09-12, STS-47
263, Steven MacLean, 1992-10-22, STS-52
264, Michael Clifford, 1992-12-02, STS-53
265, Susan Helms, 1993-01-13, STS-54
266, Aleksandr Poleshchuk, 1993-01-24, Soyuz TM-16
267, Kenneth Cockrell, 1993-04-08, STS-56
, Ellen Ochoa, 1993-04-08, STS-56
269, Bernard Harris, 1993-04-26, STS-55
, Charles Precourt, 1993-04-26, STS-55
, Hans Schlegel, 1993-04-26, STS-55
, Ulrich Walter, 1993-04-26, STS-55
273, Nancy Currie, 1993-06-21, STS-57
, Janice Voss, 1993-06-21, STS-57
, Peter Wisoff, 1993-06-21, STS-57
276, Jean-Pierre Haignere, 1993-07-01, Soyuz TM-17
, Vasili Tsibliyev, 1993-07-01, Soyuz TM-17
278, Daniel Bursch, 1993-09-12, STS-51
, James Newman, 1993-09-12, STS-51
, Carl Walz, 1993-09-12, STS-51
281, Martin Fettman, 1993-10-18, STS-58
, William McArthur, 1993-10-18, STS-58
, Richard Searfoss, 1993-10-18, STS-58
, David Wolf, 1993-10-18, STS-58
285, Yuri Usachyov, 1994-01-08, Soyuz TM-18
286, Ronald Sega, 1994-02-03, STS-60
287, Thomas Jones, 1994-04-09, STS-59
288, Yuri Malenchenko, 1994-07-01, Soyuz TM-19
, Talgat Musabayev, 1994-07-01, Soyuz TM-19
290, Leroy Chiao, 1994-07-08, STS-65
, James Halsell, 1994-07-08, STS-65
, Chiaki Mukai, 1994-07-08, STS-65
, Donald Thomas, 1994-07-08, STS-65
294, Jerry Linenger, 1994-09-09, STS-64
295, Stephen Smith, 1994-09-30, STS-68
, Terrence Wilcutt, 1994-09-30, STS-68
297, Yelena Kondakova, 1994-10-03, Soyuz TM-20
298, Jean-Françis Clervoy, 1994-11-03, STS-66
, Scott Parazynski, 1994-11-03, STS-66
, Joseph Tanner, 1994-11-03, STS-66
301, Eileen Collins, 1995-02-03, STS-63
302, William Gregory, 1995-03-02, STS-67
, John Grunsfeld, 1995-03-02, STS-67
, Wendy Lawrence, 1995-03-02, STS-67
305, Vladimir Dezhurov, 1995-03-14, Soyuz TM-21
306, Nikolai Budarin, 1995-06-27, STS-71
307, Kevin Kregel, 1995-07-13, STS-70
, Mary Weber, 1995-07-13, STS-70
309, Yuri Gidzenko, 1995-09-03, Soyuz TM-22
, Thomas Reiter, 1995-09-03, Soyuz TM-22
311, Michael Gernhardt, 1995-09-07, STS-69
312, Catherine Coleman, 1995-10-20, STS-73
, Fred Leslie, 1995-10-20, STS-73
, Michael Lopez-Alegria, 1995-10-20, STS-73
, Kent Rominger, 1995-10-20, STS-73
, Albert Sacco, 1995-10-20, STS-73
317, Chris Hadfield, 1995-11-12, STS-74
318, Daniel Barry, 1996-01-11, STS-72
, Brent Jett, 1996-01-11, STS-72
, Winston Scott, 1996-01-11, STS-72
, Koichi Wakata, 1996-01-11, STS-72
322, Yuri Onufrienko, 1996-02-21, Soyuz TM-23
323, Maurizio Cheli, 1996-02-22, STS-75
, Umberto Guidoni, 1996-02-22, STS-75
, Scott Horowitz, 1996-02-22, STS-75
326, Andrew Thomas, 1996-05-19, STS-77
327, Charles Brady, 1996-06-20, STS-78
, Jean-Jacques Favier, 1996-06-20, STS-78
, Richard Linnehan, 1996-06-20, STS-78
, Robert Thirsk, 1996-06-20, STS-78
331, Claudie Haignere, 1996-08-17, Soyuz TM-24
, Valeri Korzun, 1996-08-17, Soyuz TM-24
333, Reinhold Ewald, 1997-02-10, Soyuz TM-25
, Aleksandr Lazutkin, 1997-02-10, Soyuz TM-25
335, Roger Crouch, 1997-04-04, STS-83
, Gregory Linteris, 1997-04-04, STS-83
, Susan Still-Kilrain, 1997-04-04, STS-83
338, Edward Lu, 1997-05-15, STS-84
, Carlos Noriega, 1997-05-15, STS-84
340, Pavel Vinogradov, 1997-08-05, Soyuz TM-26
341, Robert Curbeam, 1997-08-07, STS-85
, Stephen Robinson, 1997-08-07, STS-85
, Bjarni Tryggvason, 1997-08-07, STS-85
344, Michael Bloomfield, 1997-09-26, STS-86
345, Kalpana Chawla, 1997-11-19, STS-87
, Takao Doi, 1997-11-19, STS-87
, Leonid Kadenyuk, 1997-11-19, STS-87
, Steven Lindsey, 1997-11-19, STS-87
349, Michael Anderson, 1998-01-23, STS-89
, Joe Edwards, 1998-01-23, STS-89
, James Reilly, 1998-01-23, STS-89
, Saliszan Sharipov, 1998-01-23, STS-89
353, Léopold Eyharts, 1998-01-29, Soyuz TM-27
354, Scott Altman, 1998-04-17, STS-90
, Jay Buckey, 1998-04-17, STS-90
, Kathryn Hire, 1998-04-17, STS-90
, James Pawelczyk, 1998-04-17, STS-90
, Dafydd Williams, 1998-04-17, STS-90
359, Dominic Gorie, 1998-06-02, STS-91
, Janet Kavandi, 1998-06-02, STS-91
361, Yuri Baturin, 1998-08-13, Soyuz TM-28
, Gennadi Padalka, 1998-08-13, Soyuz TM-28
363, Pedro Duque, 1998-10-29, STS-95
364, Frederick Sturckow, 1998-12-04, STS-88
365, Ivan Bella, 1999-02-20, Soyuz TM-29
366, Rick Husband, 1999-05-27, STS-96
, Julie Payette, 1999-05-27, STS-96
, Valery Tokarev, 1999-05-27, STS-96
369, Jeffrey Ashby, 1999-07-23, STS-93
370, Scott Kelly, 1999-12-20, STS-103
371, Gerhard Thiele, 2000-02-11, STS-99
372, Sergy Zalyotin, 2000-04-04, Soyuz TM-30
373, Jeffrey Williams, 2000-05-19, STS-101
374, Daniel Burbank, 2000-09-08, STS-106
, Richard Mastracchio, 2000-09-08, STS-106
, Boris Morukov, 2000-09-08, STS-106
377, Pamela Melroy, 2000-10-11, STS-92
378, Mark Polansky, 2001-02-07, STS-98
379, James Kelly, 2001-03-08, STS-102
, Paul Richards, 2001-03-08, STS-102
381, Yuri Lonchakov, 2001-04-19, STS-100
